Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	8a97354a-4105-4736-ae75-15988e1d7063
Plate Name	GHF201- TFEB 27.8.24
Measurement	Measurement 1
Evaluation	Evaluation2

[Data]
Row	Column	Plane	Timepoint	spots_chanel_3 - Relative Spot Intensity - Mean per Well	spots_chanel_3 - Corrected Spot Intensity - Mean per Well	spots_chanel_3 - Uncorrected Spot Peak Intensity - Mean per Well	spots_chanel_3 - Spot Contrast - Mean per Well	spots_chanel_3 - Spot Background Intensity - Mean per Well	spots_chanel_3 - Spot Area [px²] - Mean per Well	spots_chanel_3 - Region Intensity - Mean per Well	spots_chanel_3 - Spot to Region Intensity - Mean per Well	spots_chanel_3 - Intensity_Spot chanel_3_final Mean - Mean per Well	spots_chanel_3 - spots_chanel_3_final Area [µm²] - Mean per Well	selected_cells - Number of Objects	selected_cells - Cell Area [µm²] - Mean per Well	selected_cells - Cell Width [µm] - Mean per Well	selected_cells - Cell Length [µm] - Mean per Well	selected_cells - chanel_3 Gabor Max 2 px w2 - Mean per Well	selected_cells - chanel_3 SER Spot 1 px - Mean per Well	selected_cells - chanel_3 SER Hole 1 px - Mean per Well	selected_cells - chanel_3 SER Edge 1 px - Mean per Well	selected_cells - chanel_3 SER Ridge 1 px - Mean per Well	selected_cells - chanel_3 SER Valley 1 px - Mean per Well	selected_cells - chanel_3_Intensity Mean - Mean per Well	selected_cells - chanel_3_Intensity Sum - Sum per Well	selected_cells - Intensity ir_chanel_3_total Mean - Mean per Well	selected_cells - Intensity ir_chanel_3_total Sum - Sum per Well	selected_cells - chanel_2 Area [µm²] - Mean per Well	selected_cells - chanel_1 Area [µm²] - Mean per Well	selected_cells - chanel_1 Roundness - Mean per Well	selected_cells - chanel_1 Ratio Width to Length - Mean per Well	selected_cells - Total Spot Area - Mean per Well	selected_cells - Relative Spot Intensity - Mean per Well	selected_cells - Number of Spots - Mean per Well	selected_cells - Intensity_ir_chanel_3_at Mean - Mean per Well	selected_cells - ir_chanel_3_at Area [µm²] - Mean per Well	selected_cells - ir_chanel_3_total Area [µm²] - Sum per Well	total_ir_chanel_3_area_normalized	total_ir_chanel_3_intensity_normalized	Number of Analyzed Fields	Height [µm]	Time [s]	cell_type	cell_id	compound	concentration	severity	
2	2	1	0	0.613972450158	1.85511589148	21.7957276368	0.839519647715	2.59873958929	7.09212283044	21.4741327226	0.194044755592	4.45385548078	1.74908581633	227	6012.66599894	45.3088866114	168.471184858	0.0246947834693	0.00306792119291	0.00129953978104	0.0254611071181	0.0048589410263	0.0220035130443	0.220721503611	1282757	18.1200072312	163906	6012.66599894	281.692108253	0.915776367787	0.639131737928	163.806167401	0.625311512523	23.0969162996	12.669646858	21.4280172289	1795.91403294	7.91151556361	722.052863436	23	0	0	HC	1170	GHF201	50	HC	
2	3	1	0	0.70717265306	1.81322590585	20.4235328986	0.875471465145	2.48138601914	7.5921754594	21.0608592907	0.17573437469	4.29461192499	1.87241066301	213	5284.87800233	41.8853282384	169.438218796	0.0218222167085	0.00265374438275	0.000913167439159	0.0223927411393	0.00427013900495	0.0194256500044	0.170650172521	859433	17.3967415925	119845	5284.87800233	260.954541587	0.910558365565	0.631489475883	120.262910798	0.677116246308	15.8403755869	12.5359140322	15.848759036	1227.93957292	5.76497452075	562.65258216	23	0	0	HC	1170	none	0	HC	
2	4	1	0	0.910817066249	1.27798915989	12.0653658537	0.970977734118	0.291077816492	8.65512195122	13.2412216386	0.119928827389	1.56906697638	2.13455849615	230	5304.55698552	41.983648113	166.963815172	0.0178704611352	0.00218683468134	0.000520919143519	0.0182096772382	0.00354000242719	0.0157468920329	0.048534445893	221964	13.4305828709	32566	5304.55698552	250.860301112	0.918327658392	0.64597737434	77.1434782609	0.811070784582	8.91304347826	12.0974483939	11.3082343547	568.960954956	2.47374328242	141.591304348	23	0	0	HC	1170	GHF201	50	HC	
2	5	1	0	0.777055343434	1.84783980583	19.7676375405	0.911546824279	1.84763561412	7.99126213592	20.6243113653	0.154357485705	3.69547541994	1.97083490947	157	5598.44830643	44.5710672498	172.93849123	0.0217500232817	0.0026574748531	0.00102894305259	0.0227776992999	0.004332551768	0.019962715667	0.195169444733	683315	17.6818518528	124520	5598.44830643	280.294942829	0.922825531145	0.645938811582	157.280254777	0.72140265211	19.6815286624	12.4182824229	16.6023327865	1169.24312416	7.44740843417	793.121019108	23	0	0	HC	1170	none	0	HC	
2	6	1	0	0.630577661551	1.82392456029	21.4310235219	0.848543896224	2.62858807859	7.17863954228	21.8653200747	0.184381192959	4.45251263888	1.77042289088	155	5192.72796097	40.2183800007	171.855292154	0.0226565209457	0.00283268840402	0.00127469319826	0.0239087467736	0.0045114253704	0.0207096859428	0.429083225781	752590	18.2728067906	108428	5192.72796097	333.662819014	0.888790983899	0.625552597622	145.703225806	0.63848457832	20.2967741935	12.6479774531	16.6399420192	1109.80680421	7.1600438981	699.535483871	23	0	0	HC	1170	GHF201	50	HC	
2	7	1	0	0.792534502492	1.56961818962	16.4644787645	0.918871099956	1.28371483729	8.0305019305	17.891378011	0.145065742766	2.8533330269	1.98051237415	182	5352.76489097	42.0973694228	171.104285282	0.0189635022188	0.00232614111091	0.000752474731423	0.0195849685844	0.0037708410863	0.0169947425729	0.12475786246	476221	17.9018754525	67684	5352.76489097	303.283504603	0.916589116535	0.646823857624	114.28021978	0.661517246715	14.2307692308	12.6156977471	13.1781088778	832.601726888	4.57473476312	371.89010989	23	0	0	HC	1170	none	0	HC	
2	8	1	0	0.666379169872	1.79845047627	19.7478122514	0.864505777625	1.86238240457	7.26120392469	18.8446504289	0.176547877731	3.66083288084	1.79078522719	170	5130.94876233	40.0579576563	168.241560146	0.0241561493416	0.00296956868504	0.00141091001092	0.0247835548725	0.00470881769788	0.0219707341301	0.0926778188129	283187	13.8608752387	89868	5130.94876233	299.454890332	0.923295877853	0.641994160226	161.070588235	0.791980722636	22.1823529412	12.3343571959	15.2021771258	1131.50969282	6.65593936954	528.635294118	23	0	0	HC	1170	GHF201	50	HC	
2	9	1	0	0.761338387545	1.65334977165	18.0473289597	0.89984360978	1.90544416923	7.89222118088	19.6286470973	0.161498177906	3.55879394088	1.9464090593	211	5259.90801733	41.2336325342	163.605576617	0.0168746664669	0.00212063149633	0.000784718474653	0.0183885949514	0.0034760288754	0.0162437563516	0.115386388561	476851	18.300487716	76389	5259.90801733	257.474009743	0.888270126481	0.617252403856	79.8199052133	0.640280294036	10.1137440758	12.4842952589	11.6848221397	798.567651559	3.78468081308	362.033175355	23	0	0	HC	1170	none	0	HC	
2	10	1	0	0.894974851826	1.39177927928	13.2140540541	0.964580876143	0.399079150579	8.55189189189	13.7127486819	0.128220755843	1.79085842986	2.10909951343	191	5598.55374267	42.7067564047	173.094675949	0.0152430353516	0.00186491284797	0.000457703803861	0.0152757793367	0.00304194472947	0.0130280642462	0.0352546649625	138141	13.4404009402	28125	5598.55374267	266.720340551	0.918224228115	0.641885851598	82.832460733	0.844193632098	9.68586387435	11.2671276472	9.81846531609	495.960329613	2.59665094038	147.251308901	23	0	0	HC	1170	GHF201	50	HC	
2	11	1	0	0.827879422375	1.53067770876	15.8179710145	0.9328190662	1.14312284334	8.21913043478	16.5734920812	0.144305533149	2.6738005521	2.02703264026	176	5119.28796025	39.9366741107	175.419867148	0.0164352650085	0.00198618992696	0.000615344403231	0.0170233939238	0.00326854758259	0.0149986729446	0.0835517112299	235533	15.8746437208	39504	5119.28796025	271.700883975	0.910156011125	0.633472217567	80.5568181818	0.751660773975	9.80113636364	11.6996617043	9.70380318071	526.048425193	2.98891150678	224.454545455	23	0	0	HC	1170	none	0	HC	
3	2	1	0	0.777236882366	1.63899162153	17.7265995261	0.906303855694	1.68219575152	7.85841232227	17.8535720792	0.159942839401	3.32118737305	1.93807099234	296	6044.76772343	47.6158482733	165.092067373	0.0193698547235	0.00241227886315	0.000620564607033	0.0194444642087	0.00391332718549	0.0163143865183	0.0555672866782	384422	15.891525696	83732	6044.76772343	263.55911948	0.918371820536	0.632276376221	89.6283783784	0.758810165185	11.4054054054	11.1747471499	14.9190695466	1045.93125703	3.53355154402	282.878378378	23	0	0	HD	4287	GHF201	50	S	
3	3	1	0	0.749438940763	1.7695095845	19.8407576289	0.893212381137	2.24672921782	7.77060680463	19.0071725065	0.173708413165	4.01623880231	1.91641606769	294	5735.78523009	45.0883311456	164.9196687	0.0217757591736	0.00268527284729	0.000972998508322	0.0225323645318	0.0043489440425	0.019592955034	0.116707887419	516921	16.850311448	83707	5735.78523009	288.905444139	0.908899503096	0.627326866277	75.3537414966	0.735282612772	9.69727891156	12.0851017748	14.8016183373	942.595912372	3.20610854548	284.717687075	23	0	0	HD	4287	none	0	S	
3	4	1	0	0.844718478586	1.44489893296	14.3751160631	0.94253708659	0.750951165053	8.28551532033	14.6213323392	0.13834523964	2.19585009801	2.04340472863	283	4944.56796296	41.1446849692	159.573093032	0.020581145909	0.00251630579589	0.000669623447864	0.0207901670987	0.00405607455288	0.017758122046	0.0730586242959	450726	14.2331032763	38667	4944.56796296	254.649898906	0.91958536062	0.629576148225	63.0636042403	0.819501893571	7.61130742049	11.9072251835	11.6653897771	607.187633768	2.14553934193	136.632508834	23	0	0	HD	4287	GHF201	50	S	
